service_id,date,exception_type
1,20200101,1
26,20200101,1
53,20200101,1
2,20200102,1
27,20200102,1
54,20200102,1
3,20200103,1
28,20200103,1
55,20200103,1
4,20200104,1
29,20200104,1
56,20200104,1
4,20200105,1
30,20200105,1
56,20200105,1
5,20200106,1
31,20200106,1
53,20200106,1
2,20200107,1
27,20200107,1
54,20200107,1
6,20200108,1
27,20200108,1
54,20200108,1
6,20200109,1
27,20200109,1
54,20200109,1
7,20200110,1
32,20200110,1
55,20200110,1
4,20200111,1
29,20200111,1
56,20200111,1
5,20200112,1
33,20200112,1
53,20200112,1
6,20200113,1
27,20200113,1
54,20200113,1
6,20200114,1
27,20200114,1
54,20200114,1
6,20200115,1
27,20200115,1
54,20200115,1
6,20200116,1
27,20200116,1
54,20200116,1
7,20200117,1
32,20200117,1
55,20200117,1
4,20200118,1
29,20200118,1
56,20200118,1
5,20200119,1
33,20200119,1
53,20200119,1
6,20200120,1
27,20200120,1
54,20200120,1
6,20200121,1
27,20200121,1
54,20200121,1
6,20200122,1
27,20200122,1
54,20200122,1
6,20200123,1
27,20200123,1
54,20200123,1
7,20200124,1
28,20200124,1
55,20200124,1
4,20200125,1
29,20200125,1
56,20200125,1
5,20200126,1
31,20200126,1
53,20200126,1
6,20200127,1
27,20200127,1
54,20200127,1
6,20200128,1
27,20200128,1
54,20200128,1
6,20200129,1
27,20200129,1
54,20200129,1
6,20200130,1
27,20200130,1
54,20200130,1
7,20200131,1
34,20200131,1
55,20200131,1
4,20200201,1
30,20200201,1
56,20200201,1
5,20200202,1
31,20200202,1
53,20200202,1
6,20200203,1
27,20200203,1
54,20200203,1
6,20200204,1
27,20200204,1
54,20200204,1
6,20200205,1
27,20200205,1
54,20200205,1
6,20200206,1
27,20200206,1
54,20200206,1
7,20200207,1
35,20200207,1
55,20200207,1
4,20200208,1
36,20200208,1
56,20200208,1
5,20200209,1
37,20200209,1
53,20200209,1
6,20200210,1
38,20200210,1
54,20200210,1
6,20200211,1
27,20200211,1
54,20200211,1
6,20200212,1
27,20200212,1
54,20200212,1
6,20200213,1
27,20200213,1
54,20200213,1
8,20200214,1
28,20200214,1
55,20200214,1
9,20200215,1
30,20200215,1
56,20200215,1
10,20200216,1
31,20200216,1
53,20200216,1
11,20200217,1
27,20200217,1
54,20200217,1
6,20200218,1
27,20200218,1
54,20200218,1
6,20200219,1
27,20200219,1
54,20200219,1
6,20200220,1
27,20200220,1
54,20200220,1
7,20200221,1
28,20200221,1
55,20200221,1
4,20200222,1
30,20200222,1
56,20200222,1
5,20200223,1
31,20200223,1
53,20200223,1
6,20200224,1
27,20200224,1
54,20200224,1
6,20200225,1
27,20200225,1
54,20200225,1
6,20200226,1
27,20200226,1
54,20200226,1
6,20200227,1
27,20200227,1
54,20200227,1
7,20200228,1
28,20200228,1
55,20200228,1
4,20200229,1
30,20200229,1
56,20200229,1
5,20200301,1
31,20200301,1
53,20200301,1
6,20200302,1
27,20200302,1
54,20200302,1
6,20200303,1
27,20200303,1
54,20200303,1
6,20200304,1
27,20200304,1
54,20200304,1
6,20200305,1
27,20200305,1
54,20200305,1
7,20200306,1
28,20200306,1
55,20200306,1
4,20200307,1
30,20200307,1
56,20200307,1
5,20200308,1
31,20200308,1
53,20200308,1
6,20200309,1
27,20200309,1
54,20200309,1
6,20200310,1
27,20200310,1
54,20200310,1
6,20200311,1
27,20200311,1
54,20200311,1
6,20200312,1
27,20200312,1
54,20200312,1
7,20200313,1
28,20200313,1
55,20200313,1
4,20200314,1
30,20200314,1
56,20200314,1
5,20200315,1
31,20200315,1
53,20200315,1
2,20200316,1
39,20200316,1
54,20200316,1
12,20200317,1
40,20200317,1
54,20200317,1
13,20200318,1
40,20200318,1
54,20200318,1
13,20200319,1
40,20200319,1
54,20200319,1
13,20200320,1
40,20200320,1
55,20200320,1
14,20200321,1
31,20200321,1
56,20200321,1
14,20200322,1
31,20200322,1
53,20200322,1
13,20200323,1
40,20200323,1
54,20200323,1
13,20200324,1
40,20200324,1
54,20200324,1
13,20200325,1
40,20200325,1
54,20200325,1
13,20200326,1
40,20200326,1
54,20200326,1
13,20200327,1
40,20200327,1
55,20200327,1
15,20200328,1
41,20200328,1
56,20200328,1
15,20200329,1
41,20200329,1
53,20200329,1
16,20200330,1
41,20200330,1
54,20200330,1
16,20200331,1
41,20200331,1
54,20200331,1
16,20200401,1
41,20200401,1
54,20200401,1
16,20200402,1
41,20200402,1
54,20200402,1
16,20200403,1
41,20200403,1
55,20200403,1
15,20200404,1
41,20200404,1
56,20200404,1
15,20200405,1
41,20200405,1
53,20200405,1
16,20200406,1
41,20200406,1
54,20200406,1
16,20200407,1
41,20200407,1
54,20200407,1
16,20200408,1
41,20200408,1
54,20200408,1
16,20200409,1
41,20200409,1
55,20200409,1
15,20200410,1
41,20200410,1
56,20200410,1
15,20200411,1
41,20200411,1
56,20200411,1
4,20200412,1
41,20200412,1
56,20200412,1
5,20200413,1
41,20200413,1
53,20200413,1
6,20200414,1
41,20200414,1
54,20200414,1
6,20200415,1
39,20200415,1
54,20200415,1
6,20200416,1
39,20200416,1
54,20200416,1
7,20200417,1
42,20200417,1
55,20200417,1
4,20200418,1
30,20200418,1
56,20200418,1
5,20200419,1
31,20200419,1
53,20200419,1
6,20200420,1
39,20200420,1
54,20200420,1
6,20200421,1
39,20200421,1
54,20200421,1
6,20200422,1
39,20200422,1
54,20200422,1
6,20200423,1
39,20200423,1
54,20200423,1
7,20200424,1
42,20200424,1
55,20200424,1
4,20200425,1
30,20200425,1
56,20200425,1
5,20200426,1
31,20200426,1
53,20200426,1
6,20200427,1
39,20200427,1
54,20200427,1
6,20200428,1
39,20200428,1
54,20200428,1
6,20200429,1
39,20200429,1
54,20200429,1
7,20200430,1
42,20200430,1
55,20200430,1
4,20200501,1
30,20200501,1
56,20200501,1
4,20200502,1
30,20200502,1
56,20200502,1
5,20200503,1
31,20200503,1
53,20200503,1
6,20200504,1
39,20200504,1
54,20200504,1
6,20200505,1
39,20200505,1
54,20200505,1
6,20200506,1
39,20200506,1
54,20200506,1
6,20200507,1
39,20200507,1
54,20200507,1
7,20200508,1
42,20200508,1
55,20200508,1
4,20200509,1
30,20200509,1
56,20200509,1
5,20200510,1
31,20200510,1
53,20200510,1
6,20200511,1
39,20200511,1
54,20200511,1
6,20200512,1
39,20200512,1
54,20200512,1
6,20200513,1
39,20200513,1
54,20200513,1
6,20200514,1
39,20200514,1
54,20200514,1
7,20200515,1
42,20200515,1
55,20200515,1
4,20200516,1
30,20200516,1
56,20200516,1
5,20200517,1
31,20200517,1
53,20200517,1
6,20200518,1
39,20200518,1
54,20200518,1
6,20200519,1
39,20200519,1
54,20200519,1
6,20200520,1
39,20200520,1
54,20200520,1
6,20200521,1
39,20200521,1
54,20200521,1
7,20200522,1
42,20200522,1
55,20200522,1
4,20200523,1
30,20200523,1
56,20200523,1
5,20200524,1
31,20200524,1
53,20200524,1
6,20200525,1
39,20200525,1
54,20200525,1
6,20200526,1
39,20200526,1
54,20200526,1
6,20200527,1
39,20200527,1
54,20200527,1
6,20200528,1
39,20200528,1
54,20200528,1
7,20200529,1
42,20200529,1
55,20200529,1
4,20200530,1
30,20200530,1
56,20200530,1
4,20200531,1
30,20200531,1
56,20200531,1
12,20200601,1
39,20200601,1
57,20200601,1
6,20200602,1
39,20200602,1
54,20200602,1
6,20200603,1
39,20200603,1
54,20200603,1
6,20200604,1
39,20200604,1
54,20200604,1
7,20200605,1
42,20200605,1
55,20200605,1
4,20200606,1
30,20200606,1
56,20200606,1
5,20200607,1
31,20200607,1
53,20200607,1
6,20200608,1
39,20200608,1
54,20200608,1
6,20200609,1
39,20200609,1
54,20200609,1
6,20200610,1
39,20200610,1
54,20200610,1
6,20200611,1
39,20200611,1
54,20200611,1
7,20200612,1
42,20200612,1
55,20200612,1
4,20200613,1
30,20200613,1
56,20200613,1
5,20200614,1
31,20200614,1
53,20200614,1
6,20200615,1
39,20200615,1
54,20200615,1
6,20200616,1
39,20200616,1
54,20200616,1
6,20200617,1
39,20200617,1
54,20200617,1
6,20200618,1
39,20200618,1
54,20200618,1
7,20200619,1
42,20200619,1
55,20200619,1
4,20200620,1
30,20200620,1
56,20200620,1
5,20200621,1
31,20200621,1
53,20200621,1
2,20200622,1
39,20200622,1
54,20200622,1
3,20200623,1
42,20200623,1
55,20200623,1
5,20200624,1
31,20200624,1
53,20200624,1
2,20200625,1
39,20200625,1
54,20200625,1
3,20200626,1
42,20200626,1
55,20200626,1
4,20200627,1
30,20200627,1
56,20200627,1
5,20200628,1
31,20200628,1
53,20200628,1
2,20200629,1
39,20200629,1
54,20200629,1
2,20200630,1
39,20200630,1
54,20200630,1
2,20200701,1
39,20200701,1
54,20200701,1
2,20200702,1
39,20200702,1
54,20200702,1
3,20200703,1
42,20200703,1
55,20200703,1
4,20200704,1
30,20200704,1
56,20200704,1
5,20200705,1
31,20200705,1
53,20200705,1
2,20200706,1
39,20200706,1
54,20200706,1
2,20200707,1
39,20200707,1
54,20200707,1
2,20200708,1
39,20200708,1
54,20200708,1
2,20200709,1
39,20200709,1
54,20200709,1
3,20200710,1
42,20200710,1
55,20200710,1
4,20200711,1
30,20200711,1
56,20200711,1
5,20200712,1
31,20200712,1
53,20200712,1
2,20200713,1
39,20200713,1
54,20200713,1
2,20200714,1
39,20200714,1
54,20200714,1
2,20200715,1
39,20200715,1
54,20200715,1
2,20200716,1
39,20200716,1
54,20200716,1
3,20200717,1
42,20200717,1
55,20200717,1
4,20200718,1
30,20200718,1
56,20200718,1
5,20200719,1
31,20200719,1
53,20200719,1
2,20200720,1
39,20200720,1
54,20200720,1
