route_id,service_id,trip_id,trip_headsign,shape_id
3,1,3708928,Sarrià,100003
3,1,3708929,Pl. Catalunya,200003
3,1,3708930,Sarrià,100003
3,1,3708931,Pl. Catalunya,200003
3,1,3708932,Sarrià,100003
3,1,3708933,Pl. Catalunya,200003
3,1,3708934,Sarrià,100003
3,1,3708935,Pl. Catalunya,200003
3,1,3708936,Sarrià,100003
3,1,3708937,Pl. Catalunya,200003
3,1,3708938,Sarrià,100003
3,1,3708939,Pl. Catalunya,200003
3,1,3708940,Sarrià,100003
3,1,3708941,Pl. Catalunya,200003
3,1,3708942,Sarrià,100003
3,1,3708943,Pl. Catalunya,200003
3,1,3708944,Sarrià,100003
3,1,3708945,Pl. Catalunya,200003
3,1,3708946,Sarrià,100003
3,1,3708947,Pl. Catalunya,200003
3,1,3708948,Sarrià,100003
3,1,3708949,Pl. Catalunya,200003
3,1,3708950,Sarrià,100003
3,1,3708951,Pl. Catalunya,200003
3,1,3708952,Sarrià,100003
3,1,3708953,Pl. Catalunya,200003
3,1,3708954,Sarrià,100003
3,1,3708955,Pl. Catalunya,200003
3,1,3708956,Sarrià,100003
3,1,3708957,Pl. Catalunya,200003
3,1,3708958,Sarrià,100003
3,1,3708959,Pl. Catalunya,200003
3,1,3708960,Sarrià,100003
3,1,3708961,Pl. Catalunya,200003
3,1,3708962,Sarrià,100003
3,1,3708963,Pl. Catalunya,200003
3,1,3708964,Sarrià,100003
3,1,3708965,Pl. Catalunya,200003
3,1,3708966,Sarrià,100003
3,1,3708967,Pl. Catalunya,200003
3,1,3708968,Sarrià,100003
3,1,3708969,Pl. Catalunya,200003
3,1,3708970,Sarrià,100003
3,1,3708971,Pl. Catalunya,200003
3,1,3708972,Sarrià,100003
3,1,3708973,Pl. Catalunya,200003
3,1,3708974,Sarrià,100003
3,1,3708975,Pl. Catalunya,200003
3,1,3708976,Sarrià,100003
3,1,3708977,Pl. Catalunya,200003
3,1,3708978,Sarrià,100003
3,1,3708979,Pl. Catalunya,200003
3,1,3708980,Sarrià,100003
3,1,3708981,Pl. Catalunya,200003
3,1,3708982,Sarrià,100003
3,1,3708983,Pl. Catalunya,200003
3,1,3708984,Sarrià,100003
3,1,3708985,Pl. Catalunya,200003
