service_id,date,exception_type
1.1.H863,20200414,1
1.1.H743,20200415,1
1.1.H743,20200416,1
1.1.H744,20200417,1
1.1.H605,20200418,1
1.1.H621,20200419,1
1.1.H743,20200420,1
1.1.H743,20200421,1
1.1.H743,20200422,1
1.1.H743,20200423,1
1.1.H744,20200424,1
1.1.H605,20200425,1
1.1.H621,20200426,1
1.1.H743,20200427,1
1.1.H743,20200428,1
1.1.H743,20200429,1
1.1.H743,20200430,1
1.1.H621,20200501,1
1.1.H605,20200502,1
1.1.H621,20200503,1
1.1.H743,20200504,1
1.1.H743,20200505,1
1.1.H743,20200506,1
1.1.H743,20200507,1
1.1.H744,20200508,1
1.1.H605,20200509,1
1.1.H621,20200510,1
1.1.H743,20200511,1
1.1.H743,20200512,1
1.1.H743,20200513,1
1.1.H743,20200514,1
1.1.H744,20200515,1
1.1.H605,20200516,1
1.1.H621,20200517,1
1.1.H743,20200518,1
1.1.H743,20200519,1
1.1.H743,20200520,1
1.1.H743,20200521,1
1.1.H744,20200522,1
1.1.H605,20200523,1
1.1.H621,20200524,1
1.1.H743,20200525,1
1.1.H743,20200526,1
1.1.H743,20200527,1
1.1.H743,20200528,1
1.1.H744,20200529,1
1.1.H605,20200530,1
1.1.H621,20200531,1
1.1.H621,20200601,1
1.1.H743,20200602,1
1.1.H743,20200603,1
1.1.H743,20200604,1
1.1.H744,20200605,1
1.1.H605,20200606,1
1.1.H621,20200607,1
1.1.H743,20200608,1
1.1.H743,20200609,1
1.1.H743,20200610,1
1.1.H743,20200611,1
1.1.H744,20200612,1
1.1.H605,20200613,1
1.1.H621,20200614,1
1.1.H743,20200615,1
1.1.H743,20200616,1
1.1.H743,20200617,1
1.1.H743,20200618,1
1.1.H744,20200619,1
1.1.H605,20200620,1
1.1.H621,20200621,1
1.1.H743,20200622,1
1.1.H743,20200623,1
1.1.H621,20200624,1
1.1.H743,20200625,1
1.1.H744,20200626,1
1.1.H605,20200627,1
1.1.H621,20200628,1
1.1.H743,20200629,1
1.1.H743,20200630,1
1.1.H743,20200701,1
1.1.H743,20200702,1
1.1.H744,20200703,1
1.1.H605,20200704,1
1.1.H621,20200705,1
1.1.H743,20200706,1
1.1.H743,20200707,1
1.1.H743,20200708,1
1.1.H743,20200709,1
1.1.H744,20200710,1
1.1.H605,20200711,1
1.1.H621,20200712,1
1.1.H743,20200713,1
1.1.H743,20200714,1
1.1.H743,20200715,1
1.1.H743,20200716,1
1.1.H744,20200717,1
1.1.H605,20200718,1
1.1.H621,20200719,1
1.1.H743,20200720,1
1.1.H743,20200721,1
1.1.H743,20200722,1
1.1.H743,20200723,1
1.1.H744,20200724,1
1.1.H605,20200725,1
1.1.H621,20200726,1
1.1.H743,20200727,1
1.1.H743,20200728,1
1.1.H743,20200729,1
1.1.H743,20200730,1
1.1.H744,20200731,1
1.1.H605,20200801,1
1.1.H621,20200802,1
1.1.H743,20200803,1
1.1.H743,20200804,1
1.1.H743,20200805,1
1.1.H743,20200806,1
1.1.H744,20200807,1
1.1.H605,20200808,1
1.1.H621,20200809,1
1.1.H743,20200810,1
1.1.H743,20200811,1
1.1.H743,20200812,1
1.1.H743,20200813,1
1.1.H744,20200814,1
1.1.H621,20200815,1
1.1.H621,20200816,1
1.1.H743,20200817,1
1.1.H743,20200818,1
1.1.H743,20200819,1
1.1.H743,20200820,1
1.1.H744,20200821,1
1.1.H605,20200822,1
1.1.H621,20200823,1
1.1.H743,20200824,1
1.1.H743,20200825,1
1.1.H743,20200826,1
1.1.H743,20200827,1
1.1.H744,20200828,1
1.1.H605,20200829,1
1.1.H621,20200830,1
1.1.H743,20200831,1
1.1.H743,20200901,1
1.1.H743,20200902,1
1.1.H743,20200903,1
1.1.H744,20200904,1
1.1.H605,20200905,1
1.1.H621,20200906,1
1.1.H743,20200907,1
1.1.H743,20200908,1
1.1.H743,20200909,1
1.1.H743,20200910,1
1.1.H621,20200911,1
1.1.H605,20200912,1
1.1.H621,20200913,1
1.1.H743,20200914,1
1.1.H743,20200915,1
1.1.H743,20200916,1
1.1.H743,20200917,1
1.1.H744,20200918,1
1.1.H605,20200919,1
1.1.H621,20200920,1
1.1.H743,20200921,1
1.1.H743,20200922,1
1.1.H743,20200923,1
1.1.H621,20200924,1
1.1.H744,20200925,1
1.1.H605,20200926,1
1.1.H621,20200927,1
1.1.H743,20200928,1
1.1.H743,20200929,1
1.1.H743,20200930,1
1.1.H743,20201001,1
1.1.H744,20201002,1
1.1.H605,20201003,1
1.1.H621,20201004,1
1.1.H743,20201005,1
1.1.H743,20201006,1
1.1.H743,20201007,1
1.1.H743,20201008,1
1.1.H744,20201009,1
1.1.H605,20201010,1
1.1.H621,20201011,1
1.1.H621,20201012,1
1.1.H743,20201013,1
1.1.H743,20201014,1
1.1.H743,20201015,1
1.1.H744,20201016,1
1.1.H605,20201017,1
1.1.H621,20201018,1
1.1.H743,20201019,1
1.1.H743,20201020,1
1.1.H743,20201021,1
1.1.H743,20201022,1
1.1.H744,20201023,1
1.1.H605,20201024,1
1.1.H621,20201025,1
1.1.H743,20201026,1
1.1.H743,20201027,1
1.1.H743,20201028,1
1.1.H743,20201029,1
1.1.H744,20201030,1
1.1.H605,20201031,1
1.1.H621,20201101,1
1.1.H743,20201102,1
1.1.H743,20201103,1
1.1.H743,20201104,1
1.1.H743,20201105,1
1.1.H744,20201106,1
1.1.H605,20201107,1
1.1.H621,20201108,1
1.1.H743,20201109,1
1.1.H743,20201110,1
1.1.H743,20201111,1
1.1.H743,20201112,1
1.1.H744,20201113,1
1.1.H605,20201114,1
1.1.H621,20201115,1
1.1.H743,20201116,1
1.1.H743,20201117,1
1.1.H743,20201118,1
1.1.H743,20201119,1
1.1.H744,20201120,1
1.1.H605,20201121,1
1.1.H621,20201122,1
1.1.H743,20201123,1
1.1.H743,20201124,1
1.1.H743,20201125,1
1.1.H743,20201126,1
1.1.H744,20201127,1
1.1.H605,20201128,1
1.1.H621,20201129,1
1.1.H743,20201130,1
1.1.H743,20201201,1
1.1.H743,20201202,1
1.1.H743,20201203,1
1.1.H744,20201204,1
1.1.H605,20201205,1
1.1.H621,20201206,1
1.1.H743,20201207,1
1.1.H621,20201208,1
1.1.H743,20201209,1
1.2.H862,20200414,1
1.2.H586,20200415,1
1.2.H586,20200416,1
1.2.H607,20200417,1
1.2.H614,20200418,1
1.2.H601,20200419,1
1.2.H586,20200420,1
1.2.H586,20200421,1
1.2.H586,20200422,1
1.2.H586,20200423,1
1.2.H607,20200424,1
1.2.H614,20200425,1
1.2.H601,20200426,1
1.2.H586,20200427,1
1.2.H586,20200428,1
1.2.H586,20200429,1
1.2.H586,20200430,1
1.2.H601,20200501,1
1.2.H614,20200502,1
1.2.H601,20200503,1
1.2.H586,20200504,1
1.2.H586,20200505,1
1.2.H586,20200506,1
1.2.H586,20200507,1
1.2.H607,20200508,1
1.2.H614,20200509,1
1.2.H601,20200510,1
1.2.H586,20200511,1
1.2.H586,20200512,1
1.2.H586,20200513,1
1.2.H586,20200514,1
1.2.H607,20200515,1
1.2.H614,20200516,1
1.2.H601,20200517,1
1.2.H586,20200518,1
1.2.H586,20200519,1
1.2.H586,20200520,1
1.2.H586,20200521,1
1.2.H607,20200522,1
1.2.H614,20200523,1
1.2.H601,20200524,1
1.2.H586,20200525,1
1.2.H586,20200526,1
1.2.H586,20200527,1
1.2.H586,20200528,1
1.2.H607,20200529,1
1.2.H614,20200530,1
1.2.H601,20200531,1
1.2.H601,20200601,1
1.2.H586,20200602,1
1.2.H586,20200603,1
1.2.H586,20200604,1
1.2.H607,20200605,1
1.2.H614,20200606,1
1.2.H601,20200607,1
1.2.H586,20200608,1
1.2.H586,20200609,1
1.2.H586,20200610,1
1.2.H586,20200611,1
1.2.H607,20200612,1
1.2.H614,20200613,1
1.2.H601,20200614,1
1.2.H586,20200615,1
1.2.H586,20200616,1
1.2.H586,20200617,1
1.2.H586,20200618,1
1.2.H607,20200619,1
1.2.H614,20200620,1
1.2.H601,20200621,1
1.2.H586,20200622,1
1.2.H586,20200623,1
1.2.H601,20200624,1
1.2.H586,20200625,1
1.2.H607,20200626,1
1.2.H614,20200627,1
1.2.H601,20200628,1
1.2.H586,20200629,1
1.2.H586,20200630,1
1.2.H586,20200701,1
1.2.H586,20200702,1
1.2.H607,20200703,1
1.2.H614,20200704,1
1.2.H601,20200705,1
1.2.H586,20200706,1
1.2.H586,20200707,1
1.2.H586,20200708,1
1.2.H586,20200709,1
1.2.H607,20200710,1
1.2.H614,20200711,1
1.2.H601,20200712,1
1.2.H586,20200713,1
1.2.H586,20200714,1
1.2.H586,20200715,1
1.2.H586,20200716,1
1.2.H607,20200717,1
1.2.H614,20200718,1
1.2.H601,20200719,1
1.2.H586,20200720,1
1.2.H586,20200721,1
1.2.H586,20200722,1
1.2.H586,20200723,1
1.2.H607,20200724,1
1.2.H614,20200725,1
1.2.H601,20200726,1
1.2.H586,20200727,1
1.2.H586,20200728,1
1.2.H586,20200729,1
1.2.H586,20200730,1
1.2.H607,20200731,1
1.2.H614,20200801,1
1.2.H601,20200802,1
1.2.H586,20200803,1
1.2.H586,20200804,1
1.2.H586,20200805,1
1.2.H586,20200806,1
1.2.H607,20200807,1
1.2.H614,20200808,1
1.2.H601,20200809,1
1.2.H586,20200810,1
1.2.H586,20200811,1
1.2.H586,20200812,1
1.2.H586,20200813,1
1.2.H607,20200814,1
1.2.H601,20200815,1
1.2.H601,20200816,1
1.2.H586,20200817,1
1.2.H586,20200818,1
1.2.H586,20200819,1
1.2.H586,20200820,1
1.2.H607,20200821,1
1.2.H614,20200822,1
1.2.H601,20200823,1
1.2.H586,20200824,1
1.2.H586,20200825,1
1.2.H586,20200826,1
1.2.H586,20200827,1
1.2.H607,20200828,1
1.2.H614,20200829,1
1.2.H601,20200830,1
1.2.H586,20200831,1
1.2.H586,20200901,1
1.2.H586,20200902,1
1.2.H586,20200903,1
1.2.H607,20200904,1
1.2.H614,20200905,1
1.2.H601,20200906,1
1.2.H586,20200907,1
1.2.H586,20200908,1
1.2.H586,20200909,1
1.2.H586,20200910,1
1.2.H601,20200911,1
1.2.H614,20200912,1
1.2.H601,20200913,1
1.2.H586,20200914,1
1.2.H586,20200915,1
1.2.H586,20200916,1
1.2.H586,20200917,1
1.2.H607,20200918,1
1.2.H614,20200919,1
1.2.H601,20200920,1
1.2.H586,20200921,1
1.2.H586,20200922,1
1.2.H586,20200923,1
1.2.H601,20200924,1
1.2.H607,20200925,1
1.2.H614,20200926,1
1.2.H601,20200927,1
1.2.H586,20200928,1
1.2.H586,20200929,1
1.2.H586,20200930,1
1.2.H586,20201001,1
1.2.H607,20201002,1
1.2.H614,20201003,1
1.2.H601,20201004,1
1.2.H586,20201005,1
1.2.H586,20201006,1
1.2.H586,20201007,1
1.2.H586,20201008,1
1.2.H607,20201009,1
1.2.H614,20201010,1
1.2.H601,20201011,1
1.2.H601,20201012,1
1.2.H586,20201013,1
1.2.H586,20201014,1
1.2.H586,20201015,1
1.2.H607,20201016,1
1.2.H614,20201017,1
1.2.H601,20201018,1
1.2.H586,20201019,1
1.2.H586,20201020,1
1.2.H586,20201021,1
1.2.H586,20201022,1
1.2.H607,20201023,1
1.2.H614,20201024,1
1.2.H601,20201025,1
1.2.H586,20201026,1
1.2.H586,20201027,1
1.2.H586,20201028,1
1.2.H586,20201029,1
1.2.H607,20201030,1
1.2.H614,20201031,1
1.2.H601,20201101,1
1.2.H586,20201102,1
1.2.H586,20201103,1
1.2.H586,20201104,1
1.2.H586,20201105,1
1.2.H607,20201106,1
1.2.H614,20201107,1
1.2.H601,20201108,1
1.2.H586,20201109,1
1.2.H586,20201110,1
1.2.H586,20201111,1
1.2.H586,20201112,1
1.2.H607,20201113,1
1.2.H614,20201114,1
1.2.H601,20201115,1
1.2.H586,20201116,1
1.2.H586,20201117,1
1.2.H586,20201118,1
1.2.H586,20201119,1
1.2.H607,20201120,1
1.2.H614,20201121,1
1.2.H601,20201122,1
1.2.H586,20201123,1
1.2.H586,20201124,1
1.2.H586,20201125,1
1.2.H586,20201126,1
1.2.H607,20201127,1
1.2.H614,20201128,1
1.2.H601,20201129,1
1.2.H586,20201130,1
1.2.H586,20201201,1
1.2.H586,20201202,1
1.2.H586,20201203,1
1.2.H607,20201204,1
1.2.H614,20201205,1
1.2.H601,20201206,1
1.2.H586,20201207,1
1.2.H601,20201208,1
1.2.H586,20201209,1
1.3.H861,20200414,1
1.3.H742,20200415,1
1.3.H742,20200416,1
1.3.H613,20200417,1
1.3.H619,20200418,1
1.3.H609,20200419,1
1.3.H742,20200420,1
1.3.H742,20200421,1
1.3.H742,20200422,1
1.3.H742,20200423,1
1.3.H613,20200424,1
1.3.H619,20200425,1
1.3.H609,20200426,1
1.3.H742,20200427,1
1.3.H742,20200428,1
1.3.H742,20200429,1
1.3.H742,20200430,1
1.3.H609,20200501,1
1.3.H619,20200502,1
1.3.H609,20200503,1
1.3.H742,20200504,1
1.3.H742,20200505,1
1.3.H742,20200506,1
1.3.H742,20200507,1
1.3.H613,20200508,1
1.3.H619,20200509,1
1.3.H609,20200510,1
1.3.H742,20200511,1
1.3.H742,20200512,1
1.3.H742,20200513,1
1.3.H742,20200514,1
1.3.H613,20200515,1
1.3.H619,20200516,1
1.3.H609,20200517,1
1.3.H742,20200518,1
1.3.H742,20200519,1
1.3.H742,20200520,1
1.3.H742,20200521,1
