route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.2.1,1.2.H1334,1.2.3479819,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H1334,1.2.3479822,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H1334,1.2.3479824,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H1334,1.2.3479826,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H1334,1.2.3479828,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H1334,1.2.3479831,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H1334,1.2.3479833,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H1334,1.2.3479835,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H1334,1.2.3479837,"Paral·lel",1,1.2.200.2,1
1.1.1,1.1.H1327,1.1.3476682,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476684,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476686,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476690,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476696,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476700,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476703,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476705,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476711,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476717,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476780,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476782,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476784,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476786,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476792,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476798,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476819,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476821,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476823,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476829,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476835,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476843,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476890,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476892,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476894,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476900,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476906,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476912,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476801,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476803,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476805,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476807,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476811,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476817,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476719,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476721,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476723,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476726,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1327,1.1.3476732,"Fondo",0,1.1.100.1,1
